New State of Residence,Year,Number of People Migrated from New York,Different State of Residence 1 Year Ago,Median Age Living in State,Percent of Population 65+ Years Old,Percent of 25+ Years Old Population with Bachelor's Degree or Higher,Percent without Healthcare Coverage,Percent of Households with One or More People Under 18 Years,Civilian Employment Rate
Alabama,2021,2085,115641,39.8,17.6,26.7,9.9,28.8,54.1
Alabama,2011,1108,117726,38.1,14,22,14.3,32.3,54.1
Alaska,2021,70,31378,35.6,13.4,34.7,11.4,31.7,57.4
Alaska,2011,940,35084,33.9,8.1,27.2,20.1,36.8,62.6
Arizona,2021,6674,264948,38.6,18.3,31.4,10.7,29.4,56.6
Arizona,2011,3880,222877,36.2,14.2,26.4,17.2,32.4,55.9
Arkansas,2021,1352,76108,38.5,17.4,24.3,9.2,31.3,55.0
Arkansas,2011,674,69845,37.5,14.6,19.6,17.1,32.2,55.2
California,2021,32723,433402,37.6,15.2,35.3,7.0,32.6,57.6
California,2011,25629,468428,35.4,11.7,30.2,18.1,36.6,57.7
Colorado,2021,12611,250031,37.6,15.1,43.9,8.0,28.4,63.6
Colorado,2011,3998,202124,36.2,11.2,36.3,15.1,32.3,63.7
Connecticut,2021,40790,106618,41.1,18,40.6,5.2,28.4,60.9
Connecticut,2011,20015,71502,40.3,14.4,35.7,8.8,32.1,62.1
Delaware,2021,5958,42551,41.6,20,33.6,5.7,26.6,56.2
Delaware,2011,3141,33912,39.1,14.8,28,9.4,32.4,59.2
District of Columbia ,2021,3658,57746,34.8,12.8,61.4,3.7,18.8,64.2
District of Columbia ,2011,2313,48066,33.4,11.3,50.5,6.9,20.3,59.9
Florida,2021,91758,674740,42.8,21.1,31.5,12.1,26,55.4
Florida,2011,59288,498597,41.1,17.6,26,20.9,28.4,54.4
Georgia,2021,14038,302512,37.5,14.7,33,12.6,31.8,58.7
Georgia,2011,14454,271077,35.5,11,27.5,19.6,35.8,57.9
Hawaii,2021,2696,71626,40.2,19.6,34.3,3.9,30.5,54.6
Hawaii,2011,4246,57542,38.5,14.8,29.5,7.1,34,58.9
Idaho,2021,90,96388,37.3,16.5,29.1,8.8,32.7,60.7
Idaho,2011,419,60336,35.0,12.9,24.6,16.5,34.3,59.7
Illinois,2021,8092,195177,39.0,16.6,36.2,7.0,28.9,59.6
Illinois,2011,6412,216204,36.8,12.8,30.7,13.1,32.8,60.3
Indiana,2021,4290,156417,38.2,16.4,27.8,7.5,29.8,60.3
Indiana,2011,2518,127874,37.1,13.1,22.7,14.5,32.8,59.3
Iowa,2021,909,77245,38.5,17.8,29.7,4.8,28.6,63.6
